"","gene","EC_number","COG","product","MAG"
"1","dmlR","","","HTH-type transcriptional regulator DmlR","Limnohabitans sp. 1"
"2","psiF","","","Phosphate starvation-inducible protein PsiF","Limnohabitans sp. 1"
"3","argS","6.1.1.19","","Arginine--tRNA ligase","Limnohabitans sp. 1"
"4","ftsN","","","Cell division protein FtsN","Limnohabitans sp. 1"
"5","dsbA","","","Thiol:disulfide interchange protein DsbA","Limnohabitans sp. 1"
"6","ssrA","","","transfer-messenger RNA, SsrA","Limnohabitans sp. 1"
"7","mupP","3.1.3.-","COG0546","N-acetylmuramic acid 6-phosphate phosphatase","Limnohabitans sp. 1"
"8","ubiG","2.1.1.222","COG2227","Ubiquinone biosynthesis O-methyltransferase","Limnohabitans sp. 1"
"9","oprF","","COG2885","Outer membrane porin F","Limnohabitans sp. 1"
"10","metG","6.1.1.10","COG0073","Methionine--tRNA ligase","Limnohabitans sp. 1"
"11","dauA","","COG0659","C4-dicarboxylic acid transporter DauA","Limnohabitans sp. 1"
"12","scpA","","COG1354","Segregation and condensation protein A","Limnohabitans sp. 1"
"13","ruvC","3.1.22.4","COG0817","Crossover junction endodeoxyribonuclease RuvC","Limnohabitans sp. 1"
"14","mtgA","2.4.1.129","COG0744","Biosynthetic peptidoglycan transglycosylase","Limnohabitans sp. 1"
"15","rnb","3.1.13.1","COG4776","Exoribonuclease 2","Limnohabitans sp. 1"
"16","ligA","6.5.1.1","","DNA ligase","Limnohabitans sp. 1"
"17","acdA","1.3.99.-","COG1960","Acyl-CoA dehydrogenase","Limnohabitans sp. 1"
"18","purN","2.1.2.2","COG0299","Phosphoribosylglycinamide formyltransferase","Limnohabitans sp. 1"
"19","rsmB","2.1.1.176","COG0144","Ribosomal RNA small subunit methyltransferase B","Limnohabitans sp. 1"
"20","rpmG","","COG0267","50S ribosomal protein L33","Limnohabitans sp. 1"
"21","rpmB","","COG0227","50S ribosomal protein L28","Limnohabitans sp. 1"
"22","trxB","1.8.1.9","COG0492","Thioredoxin reductase","Limnohabitans sp. 1"
"23","ilvG","2.2.1.6","","Acetolactate synthase isozyme 2 large subunit","Limnohabitans sp. 1"
"24","clpB","","COG0542","Chaperone protein ClpB","Limnohabitans sp. 1"
"25","smrA","3.1.-.-","COG2840","putative DNA endonuclease SmrA","Limnohabitans sp. 1"
